Iteration	Total_Timesteps	AverageReward	Time
10	169357	936.6350733832389	18.145658016204834
20	369918	908.1902978276455	39.19427704811096
30	623639	825.4859349554687	62.29225993156433
40	942983	865.8881827871817	89.00546288490295
50	1277426	891.0728310431809	116.50796699523926
60	1607616	847.423836985894	142.83812808990479
70	1893729	885.21937396068	167.69427704811096
80	2144655	856.2252419997641	191.5014510154724
90	2431006	750.1312030730719	215.94250893592834
100	2746574	713.4949435583254	241.06530499458313
110	3092682	742.2440548537916	269.51646089553833
