Iteration	AverageReward	Time
10	621.2080615931413	3.579119920730591
20	266.8161829168911	6.757061958312988
30	883.9922174892159	9.889188289642334
40	966.590763900136	13.107925176620483
50	1183.1715779164833	16.206072092056274
60	1624.735589047742	19.322538137435913
70	1772.1014322101573	22.988906145095825
80	1683.0528915072211	26.492451190948486
90	1862.9295238055734	29.566209077835083
100	2194.7362787210945	32.65910720825195
110	2230.2524017523706	35.702773094177246
120	2260.9272678290117	38.675684213638306
130	2476.9296086213926	41.679821252822876
140	2505.7272313586263	44.71642518043518
150	2138.267537996553	48.173176288604736
160	2483.1940502452535	51.401663064956665
170	2611.3687025101913	54.40536403656006
180	2514.440615125646	57.37183904647827
190	2686.124699633964	60.41610097885132
200	2716.6143402616626	64.08237814903259
210	2570.058577274187	67.42833495140076
220	2572.7999116203496	70.71013402938843
230	2838.7638635347894	73.73045611381531
240	3181.3184919212554	76.69055223464966
250	3975.8454790227734	79.62183713912964
260	4034.849536428843	82.57480931282043
270	3944.2130993127007	86.09371209144592
280	4109.45150326885	89.19254207611084
290	3841.084318488234	92.12120819091797
300	4226.997493746554	95.00423502922058
310	4139.311046712136	97.91205620765686
320	3638.63572689309	100.79955005645752
330	3361.8209092729176	103.75056219100952
340	4097.76059157948	106.60629796981812
350	3877.2588600083986	109.51212120056152
360	4431.620798279965	112.451101064682
370	4572.63695227691	115.31849813461304
380	4471.796982915203	118.18277621269226
390	4630.574163658474	121.09927201271057
400	4289.129981799092	123.94515800476074
410	4142.936893146025	126.8074209690094
420	4628.227106354829	129.67510724067688
430	4677.844614874284	132.5415802001953
440	4479.526706684226	135.4253511428833
450	4468.4790880885275	138.36758422851562
460	4523.049748279582	141.2291910648346
470	4230.001961964233	144.0850751399994
480	4176.390964700145	146.94775104522705
490	4480.107802513947	149.81571412086487
500	4682.271969581905	152.72430324554443
510	4775.78891589499	155.6909430027008
520	4503.541895745611	158.57445406913757
530	4771.327527030642	161.51295495033264
540	4061.8290960099926	164.37618017196655
550	4776.138829517333	167.23544716835022
560	4079.3599210126094	170.1593632698059
570	4408.088100527638	173.00929427146912
580	4467.351532457087	175.8640820980072
590	4159.902002447003	178.77210211753845
600	4042.844663507831	181.658194065094
610	4094.187761669887	184.57537412643433
620	4310.204133558169	187.49574899673462
630	4047.0294731792233	190.45158004760742
640	4328.828441134547	193.32563018798828
650	4240.293880244223	196.23648810386658
660	4394.117070818961	199.13053917884827
670	4257.410907762816	201.96236395835876
680	4904.4339981827225	204.83831095695496
690	4821.790892049981	207.67648005485535
700	4667.0005000762185	210.55723905563354
710	4794.985901163856	213.40774202346802
720	4590.072081990445	216.3075611591339
730	4324.130090727545	219.26104521751404
740	4343.979139253854	222.095801115036
750	4550.9153644609	224.91977095603943
760	4347.783396940081	227.78812718391418
770	4568.989297007704	230.58815217018127
780	4687.855886443904	233.40278887748718
790	4670.784151646413	236.2520661354065
800	4803.834125492727	239.05757021903992
810	4910.225535009641	241.88328409194946
820	4955.7478782924145	244.71215319633484
830	4941.760286946531	247.56573128700256
840	5082.432177644962	250.39341711997986
850	4883.248046928149	253.224613904953
860	4913.4079718751545	256.0626702308655
870	4775.156443540143	258.9315950870514
880	4624.108499794981	261.76066422462463
890	4785.467786511117	264.60040307044983
900	4845.089100940596	267.41551327705383
910	4710.327057257472	270.23476910591125
920	4739.053302291319	273.058856010437
930	4670.396121513935	275.8572931289673
940	4750.79663582012	278.76836609840393
950	4898.204197758613	281.6308081150055
960	4887.04036419996	284.51328897476196
970	5025.947423120193	287.31998801231384
980	4729.820175670229	290.16871309280396
990	4830.031068429652	292.9689691066742
1000	4108.2501973940825	295.82796812057495
