Iteration	Total_Timesteps	AverageReward	Time
10	22065	26.498303178873844	3.408738136291504
20	59515	182.79458810796734	7.957156181335449
30	113198	175.50406235592985	13.873445272445679
40	187055	365.8625961887946	22.163548946380615
50	277531	502.3467396740398	32.028611183166504
60	391414	565.5220114426196	43.88790822029114
70	528320	548.4226785173604	57.6832811832428
80	707532	1199.0662019481924	77.29206204414368
90	989580	1373.8100038163795	108.25846719741821
100	1355763	1459.4546759268387	146.2585141658783
110	1762348	1463.269817007207	187.3447549343109
120	2188094	1685.3491691491747	229.81551098823547
130	2638134	1619.0546721891435	274.08762216567993
140	3094957	1588.8717678406904	319.24039816856384
