Iteration	Total_Timesteps	AverageReward	Time
10	21082	253.33309391723603	1.9158048629760742
20	53678	258.88981036996563	3.9191789627075195
30	100425	258.0727234436111	6.11238694190979
40	152775	287.1777474994718	8.42357873916626
50	210519	278.2744487890953	10.877279996871948
60	271441	295.7694771182503	13.4812490940094
70	330595	302.510887408989	16.20352578163147
80	398224	348.38319105653966	19.067760944366455
90	469396	349.5904900528713	21.935436964035034
100	543056	349.49960919726897	24.94949197769165
110	620264	355.0788950754489	27.960815906524658
120	700550	366.8034352234076	31.131183862686157
130	784309	366.9111755136405	34.44207310676575
140	875467	379.3992557936488	38.02058386802673
150	972583	406.95052056314387	41.904186964035034
160	1088531	445.57080478039455	46.785187005996704
170	1248255	984.3269798752688	54.58526587486267
180	1476851	1020.9940509380046	65.77908778190613
190	1771823	1017.9346928840422	79.72094893455505
200	2058589	1014.5331081357045	92.78872179985046
210	2332074	1014.9700282554119	106.31325387954712
220	2620557	1013.5195369005672	119.8632869720459
230	2878577	1014.1052051427524	131.78229403495789
240	3149139	1011.2488957914159	145.0594470500946
250	3399715	1009.2526198828325	157.41405200958252
260	3662289	1010.9331024125296	169.79150390625
270	3912433	1009.4254833873222	182.24623203277588
