Iteration	Total_Timesteps	AverageReward	Time
10	19571	23.218099936383865	3.8609039783477783
20	37363	21.084305954644375	6.205581188201904
30	54969	22.83927029815932	8.24930214881897
40	73430	24.519649207705765	10.702883243560791
50	93290	26.47395283816528	12.998371124267578
60	114045	26.97601008816951	15.847561120986938
70	135813	28.032839494730005	18.358887195587158
80	158444	28.60829164207892	21.36134099960327
90	181464	28.980070331183455	24.00379490852356
100	204840	29.220289599688112	27.073106288909912
110	228284	29.336709409752572	29.8223659992218
120	251736	29.935255829894196	32.92025709152222
130	275628	29.885683355138006	35.67708611488342
140	299485	29.83784201815516	38.78839921951294
150	323294	29.70633476810967	41.54180407524109
160	347020	29.978324654311937	44.6713171005249
170	371027	30.233223220208092	47.42093896865845
180	394944	30.242485058440025	50.584956884384155
190	419210	30.135556420014318	53.38890814781189
200	443424	30.237304082269933	56.63692331314087
210	467645	30.183487519603982	59.48023700714111
220	492795	30.287313804419856	62.782050132751465
230	518674	30.642073971381663	65.75266003608704
240	546423	30.795828665075373	69.34853506088257
250	574186	31.15110575335123	72.5415871143341
260	604275	31.197943588383346	76.35057806968689
270	634019	31.99051858999461	79.75634717941284
280	665919	32.396118969349054	83.79279112815857
290	700882	33.59912980601197	87.77944803237915
300	740186	32.16749475985949	92.54851198196411
310	782043	33.14543938796532	97.18711709976196
320	821755	33.91844553306093	102.13224816322327
330	861905	32.94114204349635	106.57085704803467
340	900506	33.7212071912049	111.34081315994263
350	939995	32.827437179385626	115.71412515640259
360	978505	34.61701133671281	120.60985112190247
370	1015806	32.80050062337424	124.74989795684814
380	1053635	33.545436222927954	129.45301818847656
390	1089126	33.36982147396688	133.46490120887756
400	1126464	33.267295980359336	138.1122841835022
410	1163079	33.52112713461746	142.24839806556702
420	1210361	34.05702711205399	147.91251826286316
430	1252852	33.23510339915034	152.6310751438141
440	1292608	33.37250198693264	157.62624788284302
450	1328759	32.74249964150614	161.68821024894714
460	1362347	32.42087847478929	166.01735615730286
470	1397526	32.779724572118255	169.98400712013245
480	1437545	32.76336340110425	174.85913109779358
490	1475179	32.2108874676788	179.0458540916443
500	1512205	31.893990026193002	183.67487215995789
510	1546361	32.642999289879725	187.53457117080688
520	1578496	31.97997958018401	191.61970710754395
530	1615559	32.16963126914427	195.73936104774475
540	1651318	32.14061309645932	200.24078798294067
550	1687231	32.64150682748502	204.25108194351196
560	1719928	31.752992094745586	208.39274907112122
570	1753304	31.86916423628913	212.17954206466675
580	1789264	31.957649269140443	216.70468711853027
590	1820248	31.900897579049452	220.21874403953552
600	1852015	31.569489393922776	224.28752732276917
610	1883459	32.043036933940186	227.89668202400208
620	1915570	31.68839230095931	232.0177400112152
630	1947820	32.23021088596602	235.6697280406952
640	1981277	31.67087471968637	239.8931610584259
650	2016379	31.291196757364816	243.8475661277771
660	2050493	31.789634700068206	248.1977310180664
670	2083525	31.833568018471702	251.92433714866638
680	2115005	31.383172101818904	255.95770502090454
690	2145115	31.38109916549361	259.39127707481384
700	2175739	31.676486571350292	263.35494017601013
710	2206587	31.710590090887177	266.8867201805115
720	2237782	32.122889616698636	270.9011251926422
730	2269070	32.39295478522914	274.4418911933899
