Iteration	Total_Timesteps	AverageReward	Time
10	26265	1023.8567496669281	5.3134331703186035
20	176551	1022.7409599224397	19.466520071029663
30	564775	1023.9627398184409	33.19524812698364
40	1047432	1024.969884143788	55.69429898262024
50	1539965	1030.4301552639217	72.29183006286621
60	2030542	1035.0175947257778	95.00326919555664
70	2522364	1041.8690567052595	111.7088372707367
80	3010908	1041.657137929145	133.98594212532043
90	3503605	1047.9563999270558	150.62238311767578
100	3995621	1049.1126469863075	173.5242199897766
