Iteration	Total_Timesteps	AverageReward	Time
10	139996	-54.033544295928465	24.26224684715271
20	270994	-86.34305658425964	42.96691393852234
30	386668	-208.3845530893621	59.688706159591675
40	472449	-145.73221410020315	71.83029389381409
50	562001	-233.7774379369459	82.09550380706787
60	640823	-158.5281057767144	91.33157682418823
70	694885	-76.78201720585054	97.25935316085815
80	748055	-70.7772564188844	102.54803776741028
90	812876	-74.80868593101894	109.37056112289429
100	859263	-84.15172303511987	114.69800901412964
110	905838	-65.98332068100478	119.92062997817993
120	952235	-50.79821627720799	125.26099514961243
130	990157	-64.84705872889455	129.9424488544464
140	1017835	-64.87940255852548	133.65461897850037
150	1045343	-99.80344531308543	137.1282889842987
160	1065794	-60.4713962970694	139.84389686584473
170	1088441	-58.20779298984794	142.96349382400513
180	1107829	-46.04773571309261	145.39581274986267
190	1129045	-45.743505760268505	148.2125608921051
200	1150146	-56.172847276338445	151.04736804962158
210	1163797	-60.11141095126261	153.1355230808258
220	1176199	-48.515290245242525	155.11963486671448
230	1191965	-49.81879993500262	157.42310976982117
240	1208399	-44.6350671091368	159.87596702575684
250	1221276	-39.17604782853514	161.5018870830536
260	1234199	-37.69884398596226	163.5604968070984
270	1254658	-44.53496856713725	166.59173202514648
280	1265869	-36.56390749808815	168.37916016578674
290	1291747	-40.13681771032719	172.25711584091187
300	1307188	-33.986412172238246	174.84146189689636
310	1324202	-39.34560060437668	177.19057488441467
320	1338350	-36.12400740286577	179.50416803359985
330	1355000	-39.082362442689	182.19317889213562
340	1366310	-38.771772243846684	184.3057050704956
350	1377489	-37.64092430905403	186.14748001098633
360	1392252	-34.10973522611748	188.6118369102478
370	1408332	-44.777770757226165	191.22572803497314
380	1423919	-63.14466559443954	194.15868592262268
390	1435891	-32.56367776981668	196.16257405281067
400	1448719	-38.08647910701327	198.51529812812805
410	1459958	-35.32993762005419	200.21107411384583
420	1470786	-72.26861301636208	202.29798293113708
430	1489918	-35.12133629199369	205.0243639945984
440	1506270	-31.361998474538435	207.9345269203186
450	1525845	-49.71299601733908	210.98313093185425
460	1542496	-32.39273161505529	213.65993189811707
470	1557833	-32.357197720931566	215.97901701927185
480	1572648	-36.0852224894318	218.31140995025635
490	1585506	-42.59817084035642	220.3227789402008
500	1597409	-100.48714618272557	222.62461590766907
510	1615987	-34.154883737482685	225.24137711524963
520	1629288	-32.836826331013484	227.38533306121826
530	1640952	-32.72082477113913	229.19802904129028
540	1653982	-32.59033958841919	231.37040996551514
550	1664484	-37.70293232964202	233.11519598960876
560	1673705	-34.30698135223361	234.71968579292297
570	1685820	-31.847021809528705	236.48813486099243
580	1701502	-37.86405550790977	238.8464560508728
590	1713108	-32.92732374153496	240.76630187034607
600	1729339	-34.803144176091706	243.2335569858551
610	1742018	-32.2025934472178	245.21194696426392
620	1758278	-40.67131183641126	247.91979789733887
630	1769919	-34.41661031475138	249.69733095169067
640	1781963	-52.50246765985179	252.01233887672424
650	1793648	-34.23796228638765	253.95001602172852
660	1803734	-30.191931819881326	255.7251739501953
670	1818878	-25.09251691941107	258.0981750488281
680	1830883	-32.43600188737013	260.0414688587189
690	1845267	-39.70995241875855	262.33768796920776
700	1859190	-29.89354196178186	264.5974359512329
710	1868289	-29.89186031394628	266.11318707466125
720	1884530	-30.61849146108868	268.6309440135956
730	1894505	-70.51823435112458	270.33801913261414
740	1910692	-29.264420196582233	272.8137757778168
750	1923474	-30.52744263266814	274.9408519268036
760	1935767	-34.354669121505005	277.11929082870483
770	1951042	-28.94459246301149	279.3572669029236
780	1965725	-56.227872391070704	281.9777238368988
790	1982374	-30.277017792389092	284.408597946167
800	1997909	-32.85571417866434	286.9594187736511
810	2009088	-64.51677019366478	288.999881029129
820	2023476	-56.64469907666232	291.9429769515991
830	2035450	-56.71331814263574	295.0092809200287
840	2045784	-51.35195550884116	297.4660737514496
850	2056462	-30.258517916364944	299.147011756897
860	2074093	-27.682236188169636	302.34743881225586
870	2087251	-53.84544374543939	305.25773096084595
880	2099627	-31.537568721991484	307.6445870399475
890	2110293	-74.72250853979503	310.0788929462433
900	2126497	-52.655132862126464	313.1207449436188
910	2138554	-33.12321864816701	315.1596689224243
920	2150440	-34.727599884254275	317.1896460056305
930	2163481	-34.808370051178464	319.45156693458557
940	2178180	-40.40971272845875	322.0142431259155
950	2191517	-36.19692481846258	324.45939683914185
960	2205585	-29.742529960113366	326.7657859325409
970	2216213	-53.12334086306058	328.80555391311646
980	2227570	-49.188088545740236	330.9125030040741
990	2243693	-31.247211130653646	333.25689792633057
1000	2262391	-51.480317899642834	336.6287910938263
1010	2272841	-31.40189283425863	338.3199779987335
1020	2290298	-27.36294897249849	341.2371199131012
1030	2303073	-40.76235401846445	343.39207100868225
1040	2319299	-29.84391267923662	346.6284079551697
1050	2336289	-39.98633496808189	349.9723410606384
1060	2351016	-32.3499776804186	352.9002890586853
1070	2364304	-38.07616214346718	355.3135929107666
1080	2378211	-34.874282222721696	358.6467080116272
1090	2389866	-41.95384137974019	361.2604739665985
1100	2405458	-40.861722852082416	364.5745301246643
1110	2414790	-38.157528577426596	366.33077096939087
1120	2429478	-36.48817729214705	369.18628787994385
1130	2439357	-40.49037336459044	371.13133907318115
1140	2449331	-38.33610237075712	373.14656496047974
1150	2458097	-34.49901561124808	374.7605209350586
1160	2466924	-36.506600788574175	376.6948380470276
1170	2478928	-40.96178415295342	379.06358885765076
1180	2499152	-44.370264615556046	382.4580171108246
1190	2510333	-41.812967380671246	384.40551495552063
1200	2523719	-38.6339595177838	386.8190977573395
1210	2536598	-54.7492181560216	389.7851369380951
1220	2552155	-60.47577538045847	392.45303893089294
1230	2561149	-38.83235478846505	393.96659088134766
1240	2574035	-51.29440628346275	396.3564040660858
1250	2588458	-43.72460923680385	398.6276879310608
1260	2605126	-61.99024112324386	401.3938179016113
1270	2622889	-43.61334546903478	404.25513982772827
1280	2638741	-56.13351120839164	407.3077688217163
1290	2651222	-47.79075251367223	409.94215393066406
1300	2670221	-44.21036267090949	464.21630787849426
1310	2684583	-39.68145427846909	466.1530900001526
1320	2697953	-51.15424636179275	468.6644217967987
1330	2708453	-45.005354864487344	469.9983239173889
1340	2724824	-44.82534233933418	473.3207359313965
1350	2740924	-72.04296728890898	475.6523458957672
1360	2755682	-46.415265450448594	478.3101079463959
1370	2771770	-50.921142256880195	481.3589789867401
1380	2782733	-81.37006465336073	483.77400398254395
