Iteration	Total_Timesteps	AverageReward	Time
10	158281	970.4163187864725	23.36929702758789
20	351244	955.5570187137804	47.218466997146606
30	595327	959.1237258206021	69.70061111450195
40	883108	953.8364396525956	99.69673800468445
50	1219810	893.3469871151094	127.77659702301025
60	1580581	867.0747552768095	161.75211906433105
70	1927321	737.9642553482574	189.82979202270508
80	2249164	808.4601214961467	220.41254115104675
90	2568867	766.8673109071952	246.87482905387878
100	2883999	775.4393310750415	277.77327513694763
