Iteration	Total_Timesteps	AverageReward	Time
10	168656	955.1963314998164	55.329179763793945
20	377287	938.5136749933641	118.33499789237976
30	647356	917.2175016639427	193.41177797317505
40	954557	901.4214410451231	276.3268549442291
50	1300277	841.9237073742578	368.0329740047455
60	1658367	800.6386996903242	463.3732409477234
70	2019542	716.0106871390652	559.7201359272003
80	2348522	709.4340281366088	648.7665629386902
90	2652296	661.2349422614118	732.7324769496918
100	2923103	692.8779548890393	809.6352779865265
110	3170709	780.7145281337508	880.8241467475891
120	3376741	700.5769078059222	943.2474699020386
130	3544297	723.5323570530137	996.9506139755249
140	3732893	793.8368721731146	1056.9915478229523
150	3933764	807.0552962290358	1118.7863290309906
