Iteration	Total_Timesteps	AverageReward	Time
10	168412	964.1817208074244	55.0047652721405
20	372009	927.9597979040111	116.81068515777588
30	604456	905.9987590686256	184.04741096496582
40	923536	885.0143363490799	269.8667929172516
50	1266702	921.4971516497324	360.24510502815247
60	1584696	890.6606963805649	445.0771608352661
70	1889176	849.1228628221687	527.9339001178741
80	2206571	769.6620419187819	613.7541098594666
90	2526933	836.5007974330532	698.8872139453888
100	2838292	828.9296882306697	782.8198351860046
