Iteration	Total_Timesteps	AverageReward	Time
10	18902	327.62330505739357	2.065600872039795
20	46633	254.22478895983295	3.8317489624023438
30	94640	265.5670923320711	6.2824108600616455
40	154042	292.77819828163064	8.939584970474243
50	224648	325.2675717019778	12.036816120147705
60	319441	465.9645837648674	16.57694411277771
70	490602	1028.5183642211587	25.76316499710083
80	698524	1025.9105191042393	37.0583610534668
90	900940	1025.0471729353872	47.81944704055786
100	1108829	1023.9218936869959	58.56484794616699
110	1334951	1024.1175674521019	70.12954783439636
120	1565746	1022.9561208682145	81.88191509246826
130	1794272	1021.4369455084984	93.12559604644775
140	2040420	1019.0145672971614	105.1165521144867
150	2303683	1019.8094237803269	117.28174686431885
160	2589027	1016.976693170989	131.10182189941406
170	2895092	1016.0853737692104	145.3961479663849
180	3185731	1007.674119251507	161.0468089580536
190	3498592	1005.3513209140598	177.30725693702698
200	3813083	1003.1811071207699	193.52676916122437
