Iteration	Total_Timesteps	AverageReward	Time
10	22905	58.770090703127586	1.9479918479919434
20	55252	77.96167613719649	3.4657881259918213
30	110233	379.5507841666861	5.782028913497925
40	205311	493.19154458665	9.203865051269531
50	329901	639.2166321347711	13.252257823944092
60	489802	895.278784735106	18.33402109146118
70	726213	1227.7880341024145	25.479047775268555
80	1061998	1417.1769046790985	35.149887800216675
90	1454674	1466.5947741135592	46.14856195449829
100	1889742	1785.4243799717472	58.803966760635376
110	2343528	1784.438378023939	71.43055605888367
120	2805699	1788.3226391207966	84.44478988647461
130	3268245	1803.4852540743661	96.96035504341125
