Iteration	Total_Timesteps	AverageReward	Time
10	34818	1031.8165932574284	12.516033172607422
20	188926	1023.030554242919	35.90397596359253
30	581345	1025.607444075988	81.82213497161865
40	1050570	1028.08573278711	135.15127301216125
50	1536063	1030.521841150139	190.0552761554718
60	2030904	1038.9701154678137	245.70034623146057
70	2522636	1038.4269862195872	300.7424352169037
80	3018664	1042.126460114013	356.10308599472046
90	3514807	1043.136397613596	411.1144540309906
100	4009268	1047.0090885882198	466.13543915748596
