Iteration	Total_Timesteps	AverageReward	Time
10	15389	-11.471317740098074	2.04886794090271
20	28609	-18.453293661901508	3.1492209434509277
30	38342	-19.48358169451701	3.904766082763672
40	47569	-20.144239488609493	4.860353946685791
50	56453	-19.903008458682223	5.576685905456543
60	65301	-20.075005691146966	6.5421459674835205
70	73899	-20.06131367718342	7.316375970840454
80	82554	-19.8338900534872	8.350092887878418
90	90882	-19.972248172559063	9.11834716796875
100	99198	-19.967096115224404	10.067198038101196
110	107504	-19.91892715591712	10.872273921966553
120	115817	-20.23984741928343	11.778728008270264
130	124106	-20.395521582441884	12.494401931762695
140	132537	-20.833069474218995	13.441802978515625
150	140932	-20.66515016252845	14.163985013961792
160	149256	-20.69726440920699	15.13225507736206
170	157611	-20.766921359102415	15.833319902420044
180	165936	-20.877413613678897	16.727476119995117
190	174151	-20.83315929627401	17.450814962387085
200	182336	-20.904216979671215	18.336214780807495
210	190530	-20.929990197452362	19.09298586845398
220	198737	-21.04144193279925	20.027591943740845
230	206951	-21.18484728739036	21.925797939300537
240	215077	-21.130032263790028	22.985540866851807
250	223179	-21.26418013538895	23.832043170928955
260	231282	-21.385484959181444	24.883729934692383
270	239368	-21.54402428716704	25.70677375793457
280	247385	-21.730479351766917	26.68040895462036
290	255331	-21.76476449180684	27.495767831802368
300	263301	-21.854339862501348	28.459574937820435
310	271240	-21.925139680463737	29.282240867614746
320	279149	-22.120396477836017	30.316689014434814
330	287023	-22.17870413162984	31.105099201202393
340	294900	-22.304481690097763	32.101080894470215
350	302769	-22.34937078292808	32.893264055252075
360	310597	-22.435374725054817	33.915071964263916
370	318452	-22.401611792009117	34.70009994506836
380	326296	-22.482881847659204	35.69057488441467
390	334129	-22.56614815153209	36.48081994056702
400	341908	-22.6523633847245	37.44241499900818
410	349688	-22.437355040977458	38.30938982963562
420	357411	-22.54666881865051	39.26514792442322
430	365074	-22.445594126079428	40.06495499610901
440	372740	-22.544617177086817	41.19789910316467
450	380343	-22.87458529308937	42.020384788513184
460	387952	-22.92161867966472	43.015557050704956
470	395525	-23.050949329139726	43.78446078300476
480	403056	-23.021465569642807	44.76811981201172
490	410543	-23.221572478563274	45.568055868148804
500	418031	-23.425332065340232	46.54313898086548
510	425481	-23.35720824652781	47.356683015823364
520	432907	-23.50955346318256	48.33624505996704
530	440239	-23.764403369755392	49.10525298118591
540	447623	-24.032900344668562	50.08708214759827
550	454981	-24.105009104623246	50.89122486114502
560	462324	-23.953732672226366	51.89015293121338
570	469722	-23.919566090132626	52.69302415847778
580	477045	-24.030315753446754	53.63724088668823
