Iteration	Total_Timesteps	AverageReward	Time
10	154676	937.8428514113971	52.9983549118042
20	356756	914.765621712293	115.28929114341736
30	571534	883.8865267511023	180.04887294769287
40	822814	915.7922439145556	253.09900283813477
50	1109760	861.9591362901367	332.51533222198486
60	1420541	768.8717949205732	415.8792278766632
70	1733363	725.7163000705789	499.34975004196167
80	2059024	650.0003146351286	585.6537899971008
90	2388558	648.0140287341393	672.8533370494843
100	2709336	656.3563652207663	758.8902730941772
110	3022405	736.2247592297181	842.5229811668396
