Iteration	Total_Timesteps	AverageReward	Time
10	27815	87.10181729385477	4.078212738037109
20	114494	1009.1287211192321	21.4028537273407
30	432360	1017.7215923654705	61.12288999557495
40	907016	1018.4418639196426	116.17397689819336
50	1395598	1018.8085820455515	171.52090764045715
60	1884915	1019.3871250405471	226.81798481941223
70	2377285	1019.6512409338206	282.2225658893585
80	2874726	1021.439306669211	338.14992594718933
90	3364551	1039.4225138756149	392.66823077201843
100	3855529	1024.1852348058676	447.4073097705841
