Iteration	Total_Timesteps	AverageReward	Time
10	149368	963.3468099341243	16.556026935577393
20	342406	891.0291362588141	35.767162799835205
30	597816	915.1818610223849	58.72519087791443
40	917125	851.9306448718075	85.9092481136322
50	1270087	846.4485793112083	113.98159599304199
60	1601111	865.0415415009131	140.93387913703918
70	1927899	798.1091532698559	168.53271293640137
80	2262836	705.2572578734491	196.7861430644989
90	2579898	721.287019071705	222.35625910758972
100	2848471	783.0174370922709	247.3301408290863
110	3121132	692.7368677256127	271.60994505882263
120	3392988	722.7040767758702	295.5003719329834
130	3661729	785.0290858869478	319.60568404197693
140	3924466	750.4417660734615	342.96262979507446
