Iteration	Total_Timesteps	AverageReward	Time
10	133780	-74.83092681443684	46.0886549949646
20	252899	-192.41707432795448	84.3651020526886
30	369728	-65.94314845675083	114.046315908432
40	473733	-68.35494041991184	140.1865270137787
50	558111	-46.324128022068734	158.70697712898254
60	615861	-50.19984590479296	171.12735319137573
70	656839	-54.56997833758985	179.9626350402832
80	695434	-56.56783045550455	188.21826004981995
90	743250	-64.19360126570803	198.3893370628357
100	782097	-43.86656946994441	206.56442213058472
110	815390	-41.786410782540706	213.60223197937012
120	841741	-60.773229717578886	219.4369251728058
130	860881	-69.90043792989185	223.80589890480042
140	884312	-44.857047831190265	228.76585698127747
150	904142	-38.590093446440314	233.00742602348328
160	922994	-36.04794324329062	237.00872111320496
170	936395	-50.20153759794528	240.02671194076538
180	952174	-43.41341195750138	243.37289309501648
190	965238	-36.7820551675683	246.15623116493225
200	982035	-54.050793727833025	249.83314108848572
210	999497	-38.55922277735646	253.58521604537964
220	1016445	-64.3874508870251	257.44075894355774
230	1032674	-38.494480098070255	260.922602891922
240	1048922	-39.797548413352644	264.439425945282
250	1065241	-38.81762016226436	267.98169326782227
260	1084283	-31.621592764986634	272.0513551235199
270	1099272	-42.2918295567991	275.5560550689697
280	1121153	-36.33870459837338	280.2286388874054
290	1135493	-40.09330484556194	283.34559297561646
300	1148972	-40.23512126771497	286.24966406822205
310	1162902	-41.757019962533256	289.2515001296997
320	1179399	-55.79847727089457	292.99210691452026
330	1193815	-71.27856834187315	296.4676740169525
340	1210019	-49.71987919578117	300.09321999549866
350	1227274	-34.84622456387942	303.7565040588379
360	1250087	-32.97138218629792	308.6357660293579
370	1267819	-30.81406813679582	312.40793013572693
380	1286323	-44.69798384467039	316.5262780189514
390	1306917	-28.48630580695557	320.8568480014801
400	1333058	-53.29114702773661	326.4931561946869
410	1350855	-33.16726359656448	330.2652380466461
420	1374027	-45.235577648879215	335.2063751220703
430	1394753	-42.35442814976769	339.72373700141907
440	1415148	-49.048070136314934	344.1186978816986
450	1433498	-47.41406425310565	348.0571482181549
460	1448492	-42.11648413312582	351.3372850418091
470	1464486	-38.75973555739309	354.79110503196716
480	1479588	-41.1136838726044	358.00801706314087
490	1499703	-49.48368462391087	362.39450907707214
500	1513533	-35.92336387921099	365.36576104164124
510	1527919	-34.34554134269496	368.50424218177795
520	1538860	-34.66473290753271	370.85733699798584
530	1549841	-33.360131953334665	373.2272310256958
540	1564581	-60.055257788635956	376.54895520210266
550	1573969	-40.113251311765595	378.69000601768494
560	1587981	-31.445448748292282	381.74537801742554
570	1602161	-66.70323455762362	384.91794514656067
580	1614785	-36.75214637472676	387.6611728668213
590	1624656	-40.0439899711386	389.83243203163147
600	1639177	-36.89807930527664	392.98624992370605
610	1648885	-35.352160443395846	395.17562317848206
620	1660598	-39.87126125809216	397.78875517845154
630	1676154	-36.18843473591392	401.1150460243225
640	1685262	-31.54694993358702	403.13225412368774
650	1698467	-31.731201609970952	405.9736440181732
660	1713574	-38.457769190788085	409.29585909843445
670	1727177	-57.65386378807915	412.39619398117065
680	1738431	-35.45853516532734	414.8705699443817
690	1747858	-45.381363191910275	417.0387761592865
700	1757589	-31.05249431334607	419.1906669139862
710	1770562	-34.8384681381946	422.02396512031555
720	1780955	-34.87550017215071	424.3090569972992
730	1793387	-29.956983011449665	426.950336933136
740	1803004	-49.334343833866185	429.24813199043274
750	1813748	-28.845711710435893	431.5802962779999
760	1826912	-32.19295083847258	434.44097805023193
770	1841086	-39.62268062001024	437.58643102645874
780	1851347	-34.174024680215716	439.85644006729126
790	1859863	-32.3125297427668	441.76293110847473
