Iteration	Total_Timesteps	AverageReward	Time
10	139121	952.1597195859562	16.74427103996277
20	333217	838.1761538666901	36.586804151535034
30	583369	781.5400567712072	59.66041016578674
40	895221	831.8227970008587	86.89917302131653
50	1245096	711.5147663508963	115.30770707130432
60	1579272	669.6051105124603	142.54615211486816
70	1889347	825.781585117209	169.37036991119385
80	2156238	761.1107706968329	192.7553629875183
90	2408093	699.5280477465654	214.96568322181702
100	2679862	798.8222081327564	239.36420798301697
110	2952169	700.5651353550235	263.72499108314514
