Iteration	Total_Timesteps	AverageReward	Time
10	19840	253.41360428650785	1.8797409534454346
20	50563	249.54570857423357	3.689788818359375
30	91919	248.5344803088901	5.672390937805176
40	143188	255.89159597563062	8.018577098846436
50	201574	277.9092017637913	11.112649917602539
60	259145	287.92796612617303	14.582671165466309
70	327137	305.19878647003725	18.39151692390442
80	405201	358.03490869254034	22.7079758644104
90	491083	390.32220647348777	27.23856520652771
100	600676	427.1091149743921	33.019614934921265
110	740665	1043.463795252415	42.498310804367065
120	923095	1037.8418501165868	53.881134033203125
130	1122589	1033.2824281182466	65.79891800880432
140	1299253	1029.0234703704184	77.13371896743774
150	1502095	1021.7647224628679	89.45887517929077
160	1713972	1021.6968754811538	102.31598591804504
170	1943949	1020.4852117207212	115.51479911804199
180	2172768	1020.4143744975514	129.3209240436554
190	2419505	1016.9219574643346	143.37104511260986
200	2662467	1018.1218778384152	157.0828731060028
210	2918447	1014.5733620757554	168.8772201538086
220	3164545	1014.478721743285	181.05048179626465
230	3397397	1013.63951105929	192.52094507217407
240	3642772	1011.7555267924914	204.93752002716064
250	3905885	1011.572932165672	217.08471012115479
