Iteration	Total_Timesteps	AverageReward	Time
10	140293	961.1853917799048	49.27704906463623
20	350017	930.5343347590966	112.7921199798584
30	582197	922.4690264358143	180.7838578224182
40	892567	850.802989339117	264.0039789676666
50	1224030	823.5044470446088	351.43813395500183
60	1566347	778.9586131990593	440.94344687461853
70	1886292	820.9836148453006	526.1072916984558
80	2194950	761.6589902736985	608.9001960754395
90	2481233	788.1626202436792	686.6847500801086
100	2742661	756.7079896311341	759.9795198440552
110	3002336	613.2080698999175	833.2562339305878
