Iteration	Total_Timesteps	AverageReward	Time
10	163323	979.6246923323124	18.184799909591675
20	383642	956.7416726133628	39.77901315689087
30	615921	926.937104802806	60.7163519859314
40	921895	912.8394180655387	87.17036485671997
50	1278135	886.7655871950135	115.6489200592041
60	1644435	860.9582475547364	144.492027759552
70	1992714	720.1384915938219	172.82613396644592
80	2338448	717.8035678271752	199.68197083473206
90	2656471	629.6303718123138	225.24884390830994
100	2939342	477.77413834710734	249.3236699104309
110	3197177	415.99307971270036	272.33808517456055
120	3430709	484.1665253475834	293.6523880958557
130	3710067	430.04861158948535	318.27407002449036
140	3923157	688.7305563331017	338.35530400276184
