Iteration	Total_Timesteps	AverageReward	Time
10	20472	256.3306237923323	2.4205551147460938
20	49256	249.80519209176612	4.8451080322265625
30	88989	248.84841989323905	7.430331230163574
40	140954	250.98780107121604	10.406001091003418
50	198890	266.8375555363466	13.573467254638672
60	258749	283.7735398326492	16.852567195892334
70	323346	299.4769585988164	20.36732816696167
80	395205	323.15551614665367	24.110608100891113
90	476070	379.4145516240216	28.326224088668823
100	574269	425.0359490271806	33.58755111694336
110	711285	1051.8910774307642	43.006184339523315
120	914059	1036.5463430565462	55.59178328514099
130	1138328	1032.791412805187	69.00844526290894
140	1340781	1029.3460893245363	82.13018703460693
150	1555700	1023.8735829162248	95.4416241645813
160	1773001	1023.9540726700714	109.2323739528656
170	1985081	1021.76524093126	122.55000400543213
180	2220867	1019.8734660621943	137.10248923301697
190	2457713	1014.3272049295415	152.0373990535736
200	2689480	1018.0972823370129	2233.8538901805878
