Iteration	Total_Timesteps	AverageReward	Time
10	40434	99.3557218574661	2.621919870376587
20	121768	1007.4101863152576	8.410969972610474
30	410280	1013.7456952352081	19.365097999572754
40	861302	1014.8206195831386	34.99970602989197
50	1347777	1018.0736002626359	51.28743600845337
60	1836324	1019.201338258052	67.43318915367126
70	2326386	1020.4317559013731	83.61709785461426
80	2823509	1024.5575148890173	100.19421005249023
90	3317132	1023.8217768436728	116.55113410949707
100	3813116	1028.0409074639147	132.73609805107117
