Iteration	Total_Timesteps	AverageReward	Time
10	176702	976.0634267930468	18.104398012161255
20	393582	962.3641324409605	39.29576110839844
30	654076	936.8254177112549	62.58096504211426
40	977875	910.3882557187233	90.62900114059448
50	1318446	889.2662304932051	118.9988169670105
60	1667002	844.1311598902493	148.36811089515686
70	2009370	779.7349346908496	176.19470500946045
80	2351748	762.8492387651988	204.16928601264954
90	2659611	763.2812193648576	229.5801260471344
100	2939789	793.0890377377999	254.1752429008484
