Iteration	Total_Timesteps	AverageReward	Time
10	170120	940.3708020318911	18.63770604133606
20	395761	916.591183958391	40.76558494567871
30	669966	881.2250434441379	64.71540188789368
40	976013	869.0339952632744	91.26084899902344
50	1314355	907.4841970581467	118.59321665763855
60	1662129	898.4674932036411	147.52509689331055
70	2007971	817.8065476053515	175.74615573883057
80	2349546	815.0802444535287	203.4063789844513
90	2657068	803.4935683950114	229.8799970149994
100	2969981	654.9487453201488	256.20815896987915
