Iteration	Total_Timesteps	AverageReward	Time
10	168545	965.4187996057523	55.76004719734192
20	365052	950.0615714749722	116.45052313804626
30	609523	920.9644877509616	186.79003715515137
40	933224	869.9665310047867	273.53566122055054
50	1282830	892.2871257872499	365.0718021392822
60	1644333	875.6711404383691	459.388081073761
70	2012303	825.7595851046138	555.2711670398712
80	2377685	745.0424852072342	651.0963041782379
90	2715270	734.7388925796613	742.4257111549377
100	3040326	653.8459867695952	829.4757959842682
110	3377296	584.4968851584463	919.0551650524139
120	3694329	672.9758298957064	1005.0034871101379
130	3985353	567.6492748554269	1087.3491430282593
