Iteration	Total_Timesteps	AverageReward	Time
10	29165	52.418643495228636	3.6804678440093994
20	71803	152.6935508293612	8.460408687591553
30	127877	192.13599491714402	14.496286869049072
40	203580	419.55966489609295	22.648165702819824
50	306267	591.7778321894219	33.139949798583984
60	435562	620.2521399865708	45.85676074028015
70	586126	704.4886353104338	60.38424587249756
80	790666	1118.915911772282	80.75822281837463
90	1118968	1573.7769732479494	114.15875196456909
100	1538411	1744.910988142681	154.92501497268677
110	1982446	1706.3960442623822	197.58208775520325
120	2430360	1771.5546127217756	240.47455191612244
130	2890870	1698.5259125272255	284.1880328655243
