Iteration	Total_Timesteps	AverageReward	Time
10	23355	50.4731262558459	1.8215491771697998
20	62055	310.8533381262754	4.176685094833374
30	133919	246.47258994877077	7.131091117858887
40	268083	600.5343087108355	11.836910247802734
50	438462	753.3122938841312	17.545907974243164
60	680156	1127.4717918165832	25.365787267684937
70	1002530	1449.5769622640871	34.91747307777405
80	1359230	1429.0530670202322	45.54053211212158
90	1749518	1536.0341093186844	56.392160177230835
100	2152255	1645.4858529442934	68.18556427955627
110	2561951	1516.3227028346269	79.90373921394348
120	3003236	1526.5559734104174	92.17508625984192
