Iteration	Total_Timesteps	AverageReward	Time
10	20599	243.05357651692108	4.059194087982178
20	52718	271.9462070989003	8.938557863235474
30	106186	328.212816516653	16.310917139053345
40	163013	305.3815426332169	23.87588095664978
50	226012	320.77321146131044	32.00757598876953
60	295939	373.1469289880689	40.89674401283264
70	371106	380.07832099056725	50.379846811294556
80	455452	373.0181397524767	60.850698947906494
90	544182	369.29612637565185	71.73332190513611
100	677552	865.7701552918135	92.96455192565918
110	861837	1034.1543166029228	122.98321199417114
120	1112614	1029.6297483895953	160.30022811889648
130	1390082	1031.7805812988743	201.05497288703918
140	1641786	1029.195211488163	239.28020310401917
150	1930735	1028.8983218079475	281.00714802742004
160	2188410	1029.3301195055924	319.49722504615784
170	2426251	1025.4880274099469	355.3082900047302
180	2675583	1025.7899101846817	392.58144307136536
190	2934436	1019.3422555424914	430.98318791389465
200	3172944	1017.5251642014789	467.51839685440063
210	3427899	1014.9887354711865	505.8481080532074
220	3676031	1009.1112437360857	543.5433220863342
230	3949255	1007.6030448084261	584.0133039951324
