Iteration	Total_Timesteps	AverageReward	Time
10	183600	960.959306180438	17.954999208450317
20	411886	898.8658454505742	39.58581781387329
30	660108	908.0033299521668	61.75931906700134
40	936367	886.0425166057694	87.19958090782166
50	1262496	889.1698726064974	113.95372915267944
60	1590138	895.3389797978122	140.56624484062195
70	1925592	886.7097842428235	167.82093286514282
80	2272960	855.1208326464345	196.2587149143219
90	2618600	856.4283609883726	223.70606589317322
100	2943219	857.1593026324985	250.72495484352112
110	3248184	799.8590159176067	276.27135014533997
120	3556589	672.2358374881468	302.03354597091675
130	3854153	640.1706176751736	327.552365064621
