Iteration	Total_Timesteps	AverageReward	Time
10	24437	171.8143810110005	2.083163022994995
20	77013	109.38672836400733	4.802454948425293
30	258952	1014.9665916228292	13.586987972259521
40	673670	1017.2779723507317	28.303614854812622
50	1165653	1019.6365646820693	44.71902298927307
60	1660401	1022.530017259204	61.24717307090759
70	2153590	1027.561963044935	77.45999002456665
80	2648297	1029.1526803187553	93.9138879776001
90	3141768	1027.0035355831742	110.28479719161987
100	3637872	1032.009147482805	126.74796605110168
