Iteration	Total_Timesteps	AverageReward	Time
10	20413	23.789460154361308	1.5096638202667236
20	38333	22.491988730166945	2.398902654647827
30	57324	22.858980453376322	3.308628797531128
40	76917	24.115939361844813	4.242779731750488
50	97770	25.037655020894523	5.199460744857788
60	119009	25.374128345491943	6.182232856750488
70	140701	26.698624253510562	7.134476661682129
80	163152	27.509080967703024	8.150497674942017
90	185834	27.510725897242477	9.122244834899902
100	208547	27.676413193758094	10.103193759918213
110	231554	28.259875064908186	11.125258922576904
120	254715	28.44724821593366	12.115907669067383
130	277915	28.523028267027133	13.111193656921387
140	301136	28.617391599374272	14.103939771652222
150	324339	28.536497399257392	15.102890729904175
160	347713	28.94756376526573	16.14359474182129
170	371455	29.099765625043492	17.148042917251587
180	395088	28.988287009566488	18.16268491744995
190	418594	29.301730935616057	19.1728777885437
200	442428	29.608520119976053	20.195135831832886
210	466535	29.92087623823265	21.24066686630249
220	490832	30.106166952129616	22.27236580848694
230	515024	30.13845331773173	23.29185175895691
240	539271	30.076753050895785	24.322946786880493
250	564375	30.349707029615473	25.36664080619812
260	591117	30.92988310933345	26.510892629623413
270	622813	32.6987624894825	27.88043761253357
280	661345	33.21775321947686	29.567503690719604
290	704964	33.09824951712598	31.57098388671875
300	749264	34.8863560271652	33.55855989456177
310	792518	35.45839548577423	35.48031282424927
320	836759	36.12678758432754	37.45177483558655
330	894456	38.33733889900343	39.75996971130371
340	946504	42.66904703739784	41.98878073692322
350	1004024	41.91037376531806	44.330636739730835
360	1077704	41.26730352203771	47.058708906173706
370	1172541	49.92258190033687	50.850934743881226
380	1292809	58.45242085082702	55.510231733322144
390	1432972	368.61610462322693	62.37504172325134
400	1596900	378.971779997908	70.01935482025146
410	1757392	384.2157980272847	77.80293083190918
420	1914108	371.54429127733243	85.68487191200256
430	2089806	378.7190771427282	93.66642570495605
440	2217144	390.0605868048117	100.56836676597595
450	2376627	374.19496459757465	108.17168688774109
460	2530631	381.7274662633608	116.1945538520813
470	2660891	390.7679010860422	123.09524869918823
480	2807536	377.536202642543	130.48546171188354
490	2950811	387.07456474487583	137.77196860313416
500	3103229	368.08547783268966	144.96642994880676
510	3261408	390.46008314684383	152.78470182418823
