Iteration	Total_Timesteps	AverageReward	Time
10	163686	958.89788056277	18.00592827796936
20	344673	896.5823435946662	37.38852405548096
30	580821	853.7369115438302	59.22188639640808
40	854224	837.9181920457266	84.0613603591919
50	1151232	836.5620342033359	109.10838723182678
60	1489009	698.3831021129163	136.59538006782532
70	1830470	837.9452289343561	164.63882327079773
80	2171093	750.6845468094355	193.031396150589
90	2505070	779.1607231465747	219.51902532577515
100	2805409	748.8896621033716	246.5951201915741
110	3111715	812.1923588605919	271.8404221534729
120	3420413	802.4108619659036	297.5627143383026
130	3681074	724.4361515095037	320.9850242137909
140	3948059	748.5340406985504	346.0138602256775
