Iteration	Total_Timesteps	AverageReward	Time
10	21391	23.54973168257495	2.849968194961548
20	40344	21.93812801515555	4.928596019744873
30	59625	24.885063036903862	7.039106130599976
40	80976	28.043483529597687	9.358033180236816
50	103650	42.910752931493036	11.959793329238892
60	127861	42.30740835716307	14.690547227859497
70	153138	42.686541375640125	17.50579524040222
80	178975	42.328786469906575	20.344332218170166
90	205709	44.901145096844154	23.268930196762085
100	233960	48.729941573273535	26.369487285614014
110	263221	51.74649962631269	29.60427212715149
120	293273	55.199212323363746	32.96031212806702
130	325812	70.16081829841741	36.583171129226685
140	361623	101.00772501694465	40.66707110404968
150	406196	137.63571938456732	45.84569025039673
160	457115	305.1837825738441	52.16327404975891
170	507024	335.7021323066327	58.376405000686646
180	559470	155.1793165072173	64.26256322860718
190	612721	252.61959747469572	70.69169306755066
200	664832	407.23377062900084	77.80049014091492
210	724802	553.8786221248452	85.88092112541199
220	788975	234.56091838690864	93.2120521068573
230	868204	592.9708782204298	103.011301279068
240	963176	620.3778312144966	114.20172715187073
250	1066771	632.2893923020815	126.19358801841736
260	1181841	678.7354891612135	139.2902913093567
270	1309128	814.7935374985057	153.96666598320007
280	1433576	1185.5520689762523	169.56502199172974
290	1578842	1925.3645053091138	189.82351517677307
300	1736289	1892.6664487386754	211.19592809677124
310	1896714	1785.191366070397	232.73803424835205
320	2066556	1676.3327234606074	255.1662631034851
330	2248781	1603.4997282923234	278.62132716178894
340	2440438	1428.726606752685	302.9079689979553
350	2645089	1445.2306930014406	328.21600222587585
360	2862108	1405.3928919110745	354.7293932437897
370	3097741	1219.7982036496535	382.7430143356323
380	3365758	1047.72705959683	413.65778827667236
390	3646120	1021.5069900757476	445.6089642047882
400	3935403	897.6250967729055	478.3841321468353
